;Link;BibtexID;ResponsiblePerson;Title;StudyType;Dataset;Domain of tests [other];DataPyramid;DatasetFeatures;Coupled/Decoupled;GroundTruthType;RecommendationType;GroupSizes;Baselines;GroupConstruction;GroupDuration;EvaluationDimensions;ReproducibleCode;ReproducibleData;ReproducibleGroups;ReproducibleEvalProtocol;Notes;ParsedDataset;DatasetHighLevel;ParsedDatasetHighLevel;ParsedBaselines;EvaluationDimensionsHighLevel;ParsedDomain;ParsedGroupConstruction;ParsedGroupConstructionHighLevel;ParsedGroupSizes;bib_text;bib_ID;bib_title;bib_authors;bib_year;bib_venue;bib_venue_long;bib_venue_type;bib_doi;bib_url;bib_publisher
30;https://link.springer.com/article/10.1007/s11042-017-4922-4;;LP;Applying uncertainty theory to group recommender systems taking account of experts preferences;offline;ml100k,gym;movies,sport;No_groups;;Not clear;Other/Unknown;One-session;3-7;item-based;random;Ephemeral;relevance(precision,recall,f1);Algorithm only;Problems: cannot obtain the data (Gym) anymore - double check;GenerationProcedure;Problems: unclear metrics semantics;;['ml100k', 'gym'];ml100k,gym;['ml100k', 'other'];['item-based'];['relevance'];['movies', 'sport'];['random'];['random'];[5.0];" @article{Guo_2017, title={Applying uncertainty theory to group recommender systems taking account of experts preferences}, volume={77}, ISSN={1573-7721}, url={http://dx.doi.org/10.1007/s11042-017-4922-4}, DOI={10.1007/s11042-017-4922-4}, number={10}, journal={Multimedia Tools and Applications}, publisher={Springer Science and Business Media LLC}, author={Guo, Junpeng and Sun, Lihua and Li, Wenhua and Yu, Ting}, year={2017}, month=jun, pages={12901–12918} }
";Guo_2017;Applying uncertainty theory to group recommender systems taking account of experts preferences;['Guo, Junpeng', 'Sun, Lihua', 'Li, Wenhua', 'Yu, Ting'];2017;Multimedia Tools and Applications;;article;10.1007/s11042-017-4922-4;http://dx.doi.org/10.1007/s11042-017-4922-4;Springer
31;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8731382;;AD;Social Influence-Based Group Representation Learning for Group Recommendation;offline;yelp,douban;restaurants,events(pois);GroupDecisions;;Coupled;Group;One-session;avg: 4.5;item-based,agree,pit;organic(sameplacesametime+friendsonsocialnetwork);Ephemeral;relevance(hr,mrr);Algorithm only;Yelp not available, Douban to check;GenerationProcedure;;;['yelp', 'douban'];yelp,douban;['yelp', 'douban'];['item-based', 'agree', 'pit'];['relevance'];['restaurants', 'events(pois)'];['organic(sameplacesametime', 'friendsonsocialnetwork)'];['organic'];[4.0];" @inproceedings{Yin_2019, title={Social Influence-Based Group Representation Learning for Group Recommendation}, url={http://dx.doi.org/10.1109/icde.2019.00057}, DOI={10.1109/icde.2019.00057}, booktitle={2019 IEEE 35th International Conference on Data Engineering (ICDE)}, publisher={IEEE}, author={Yin, Hongzhi and Wang, Qinyong and Zheng, Kai and Li, Zhixu and Yang, Jiali and Zhou, Xiaofang}, year={2019}, month=apr }
";Yin_2019;Social Influence-Based Group Representation Learning for Group Recommendation;['Yin, Hongzhi', 'Wang, Qinyong', 'Zheng, Kai', 'Li, Zhixu', 'Yang, Jiali', 'Zhou, Xiaofang'];2019;ICDE;2019 IEEE 35th International Conference on Data Engineering (ICDE);inproceedings;10.1109/icde.2019.00057;http://dx.doi.org/10.1109/icde.2019.00057;IEEE
32;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8807225;;AD;Social-Enhanced Attentive Group Recommendation;offline;camra2011,mafengwo;movies,venues(pois);GroupDecisions;;Coupled;Group;One-session;"avg: 7.19; 2.08";"item-based,indivrs-groups-data;popularity;com;";;Mixed;relevance(hr,ndcg);Code;Data;;;;['camra2011', 'mafengwo'];camra2011,mafengwo;['camra2011', 'mafengwo'];['item-based', 'indivrs-groups-data', 'popularity', 'com', '-'];['relevance'];['movies', 'venues(pois)'];[''];['unknown / not applicable'];[7.0, 2.0];" @article{Cao_2021, title={Social-Enhanced Attentive Group Recommendation}, volume={33}, ISSN={2326-3865}, url={http://dx.doi.org/10.1109/tkde.2019.2936475}, DOI={10.1109/tkde.2019.2936475}, number={3}, journal={IEEE Transactions on Knowledge and Data Engineering}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Cao, Da and He, Xiangnan and Miao, Lianhai and Xiao, Guangyi and Chen, Hao and Xu, Jiao}, year={2021}, month=mar, pages={1195–1209} }
";Cao_2021;Social-Enhanced Attentive Group Recommendation;['Cao, Da', 'He, Xiangnan', 'Miao, Lianhai', 'Xiao, Guangyi', 'Chen, Hao', 'Xu, Jiao'];2021;IEEE Transactions on Knowledge and Data Engineering;;article;10.1109/tkde.2019.2936475;http://dx.doi.org/10.1109/tkde.2019.2936475;IEEE
33;https://ieeexplore.ieee.org/document/8523627;;AD;Dynamic Connection-Based Social Group Recommendation;offline;flickr,ml100k,ml1m;images,movies;No_groups;;Coupled;Individual;One-session;"Flickr: 10-1000; ML: <100 and >100";com,cf-rd,mfcf,trip;random;Permanent;relevance(p@n,recall@n,ndcg);Algorithm only;Problems: No general chacracteristcs nor data available;Problems: Procedure vagualy described;;;['flickr', 'ml100k', 'ml1m'];flickr,ml100k,ml1m;['flickr', 'ml100k', 'ml1m'];['com', 'rp80', 'mfcf', 'trip'];['relevance'];['images', 'movies'];['random'];['random'];[505.0, 100100.0];" @article{Qin_2020, title={Dynamic Connection-Based Social Group Recommendation}, volume={32}, ISSN={2326-3865}, url={http://dx.doi.org/10.1109/tkde.2018.2879658}, DOI={10.1109/tkde.2018.2879658}, number={3}, journal={IEEE Transactions on Knowledge and Data Engineering}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Qin, Dong and Zhou, Xiangmin and Chen, Lei and Huang, Guangyan and Zhang, Yanchun}, year={2020}, month=mar, pages={453–467} }
";Qin_2020;Dynamic Connection-Based Social Group Recommendation;['Qin, Dong', 'Zhou, Xiangmin', 'Chen, Lei', 'Huang, Guangyan', 'Zhang, Yanchun'];2020;IEEE Transactions on Knowledge and Data Engineering;;article;10.1109/tkde.2018.2879658;http://dx.doi.org/10.1109/tkde.2018.2879658;IEEE
34;https://dl.acm.org/doi/pdf/10.1145/3109859.3109887;;AD;Fairness-Aware Group Recommendation with Pareto-Efficiency;offline;ml1m,camra2011;movies;GroupDecisions;;Decoupled;Group;One-session;8;item-based,spgreedy,efgreedy,greedylm,greedyvar;smilar,random,divergent;Mixed;relevance(p@n,r@n,f@n,dcg,ndcg);Algorithm only;Problems: Too much randomness ;Problems: Procedure vagualy described;Problems: unclear ground truth;;['ml1m', 'camra2011'];ml1m,camra2011;['ml1m', 'camra2011'];['item-based', 'spgreedy', 'efgreedy', 'greedylm', 'greedyvar'];['relevance'];['movies'];['smilar', 'random', 'divergent'];['similar', 'random', 'divergent'];[8.0];" @inproceedings{Xiao_2017, series={RecSys ’17}, title={Fairness-Aware Group Recommendation with Pareto-Efficiency}, url={http://dx.doi.org/10.1145/3109859.3109887}, DOI={10.1145/3109859.3109887}, booktitle={Proceedings of the Eleventh ACM Conference on Recommender Systems}, publisher={ACM}, author={Xiao, Lin and Min, Zhang and Yongfeng, Zhang and Zhaoquan, Gu and Yiqun, Liu and Shaoping, Ma}, year={2017}, month=aug, collection={RecSys ’17} }
";Xiao_2017;Fairness-Aware Group Recommendation with Pareto-Efficiency;['Xiao, Lin', 'Min, Zhang', 'Yongfeng, Zhang', 'Zhaoquan, Gu', 'Yiqun, Liu', 'Shaoping, Ma'];2017;RecSys;Proceedings of the Eleventh ACM Conference on Recommender Systems;inproceedings;10.1145/3109859.3109887;http://dx.doi.org/10.1145/3109859.3109887;ACM
36;https://www.sciencedirect.com/science/article/pii/S0888613X2200127X;;LP;A fuzzy content-based group recommender system with dynamic selection of the aggregation functions;offline;ml100k,hetrec;movies;No_groups;;Coupled;Individual;One-session;3-4;item-based;similarwithsharedtest;Ephemeral;relevance;Algorithm only;Data;GenerationProcedure;;;['ml100k', 'hetrec'];ml100k,hetrec;['ml100k', 'camra2011'];['item-based'];['relevance'];['movies'];['similarwithsharedtest'];['similar'];[4.0];" @article{Yera_2022, title={A fuzzy content-based group recommender system with dynamic selection of the aggregation functions}, volume={150}, ISSN={0888-613X}, url={http://dx.doi.org/10.1016/j.ijar.2022.08.015}, DOI={10.1016/j.ijar.2022.08.015}, journal={International Journal of Approximate Reasoning}, publisher={Elsevier BV}, author={Yera, Raciel and Alzahrani, Ahmad A. and Martínez, Luis}, year={2022}, month=nov, pages={273–296} }
";Yera_2022;A fuzzy content-based group recommender system with dynamic selection of the aggregation functions;['Yera, Raciel', 'Alzahrani, Ahmad A.', 'Martínez, Luis'];2022;International Journal of Approximate Reasoning;;article;10.1016/j.ijar.2022.08.015;http://dx.doi.org/10.1016/j.ijar.2022.08.015;Elsevier BV
37;https://www.sciencedirect.com/science/article/pii/S0957417420303006;;LP;Aggregation of preference relations to enhance the ranking quality of collaborative filtering based group recommender system;offline;ml1m,ml20m,netflix;movies;No_groups;;Coupled;Individual;One-session;5-30;item-based,pr-grs,grod,vae,mc-gr,nnmg-ft;random;Ephemeral;relevance(precision,ndcg);Algorithm only;Data;GenerationProcedure;Problems: vague definition of ground truth (positive items);;['ml1m', 'ml20m', 'netflix'];ml1m,ml20m,netflix;['ml1m', 'ml20m', 'netflix'];['item-based', 'pr-grs', 'grod', 'greedyvar', 'mc-gr', 'nnmg-ft'];['relevance'];['movies'];['random'];['random'];[18.0];" @article{Pujahari_2020, title={Aggregation of preference relations to enhance the ranking quality of collaborative filtering based group recommender system}, volume={156}, ISSN={0957-4174}, url={http://dx.doi.org/10.1016/j.eswa.2020.113476}, DOI={10.1016/j.eswa.2020.113476}, journal={Expert Systems with Applications}, publisher={Elsevier BV}, author={Pujahari, Abinash and Sisodia, Dilip Singh}, year={2020}, month=oct, pages={113476} }
";Pujahari_2020;Aggregation of preference relations to enhance the ranking quality of collaborative filtering based group recommender system;['Pujahari, Abinash', 'Sisodia, Dilip Singh'];2020;Expert Systems with Applications;;article;10.1016/j.eswa.2020.113476;http://dx.doi.org/10.1016/j.eswa.2020.113476;Elsevier BV
38;https://ieeexplore.ieee.org/abstract/document/9348091;;LP;Implicit Feedback-based Group Recommender System for Internet of Things Applications;offline;last.fm,delicious;music,;No_groups;;Not clear;Individual;One-session;avg ~30;item-based;similar;Ephemeral;relevance(mae,mse);Algorithm only;Problems: unclear datasets, unclear data pre-processing;Problems: unclear generation procedure;Problems: unclear ground truth;;['last.fm', 'delicious'];last.fm,delicious;['last.fm', 'delicious'];['item-based'];['relevance'];['music', ''];['similar'];['similar'];[30.0];" @inproceedings{Guo_2020, title={Implicit Feedback-based Group Recommender System for Internet of Things Applications}, url={http://dx.doi.org/10.1109/globecom42002.2020.9348091}, DOI={10.1109/globecom42002.2020.9348091}, booktitle={GLOBECOM 2020 - 2020 IEEE Global Communications Conference}, publisher={IEEE}, author={Guo, Zhiwei and Yu, Keping and Guo, Tan and Bashir, Ali Kashif and Imran, Muhammad and Guizani, Mohsen}, year={2020}, month=dec }
";Guo_2020;Implicit Feedback-based Group Recommender System for Internet of Things Applications;['Guo, Zhiwei', 'Yu, Keping', 'Guo, Tan', 'Bashir, Ali Kashif', 'Imran, Muhammad', 'Guizani, Mohsen'];2020;GLOBECOM;GLOBECOM 2020 - 2020 IEEE Global Communications Conference;inproceedings;10.1109/globecom42002.2020.9348091;http://dx.doi.org/10.1109/globecom42002.2020.9348091;IEEE
40;https://ieeexplore.ieee.org/abstract/document/8635454;;LP;An Enhanced Group Recommender System by Exploiting Preference Relation;offline;ml100k,netflix;movies;No_groups;;Not clear;Individual;One-session;5-25;item-based;random;Ephemeral;relevance;Algorithm only;Data;GenerationProcedure;Problems: unclear ground truth, results does not correspond to group size definitions;;['ml100k', 'netflix'];ml100k,netflix;['ml100k', 'netflix'];['item-based'];['relevance'];['movies'];['random'];['random'];[15.0];" @article{Guo_2019, title={An Enhanced Group Recommender System by Exploiting Preference Relation}, volume={7}, ISSN={2169-3536}, url={http://dx.doi.org/10.1109/access.2019.2897760}, DOI={10.1109/access.2019.2897760}, journal={IEEE Access}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Guo, Zhiwei and Zeng, Wenru and Wang, Heng and Shen, Yu}, year={2019}, pages={24852–24864} }
";Guo_2019;An Enhanced Group Recommender System by Exploiting Preference Relation;['Guo, Zhiwei', 'Zeng, Wenru', 'Wang, Heng', 'Shen, Yu'];2019;IEEE Access;;article;10.1109/access.2019.2897760;http://dx.doi.org/10.1109/access.2019.2897760;IEEE
41;https://link.springer.com/chapter/10.1007/978-3-031-09316-6_13;;LP;FARGO: A Fair, Context-AwaRe, Group RecOmmender System;offline;musicdataset(artistspreference);music;GroupDecisions;280 users, 498 context-aware groups;Not applicable;Group;One-session;2-5;item-based,gvar,spgreedy,efgreedy,gfar;notspecified;Ephemeral;relevance,fairness;Algorithm only;General characteristics, invalid dataset link;not specified;Problems: raw data promissed, but the link to github is empty;;['musicdataset(artistspreference)'];musicdataset;['other'];['item-based', 'greedyvar', 'spgreedy', 'efgreedy', 'gfar'];['relevance', 'fairness'];['music'];['notspecified'];['unknown / not applicable'];[4.0];" @inbook{Azzalini_2022, title={FARGO: A Fair, Context-AwaRe, Group RecOmmender System}, ISBN={9783031093166}, ISSN={1865-0937}, url={http://dx.doi.org/10.1007/978-3-031-09316-6_13}, DOI={10.1007/978-3-031-09316-6_13}, booktitle={Advances in Bias and Fairness in Information Retrieval}, publisher={Springer International Publishing}, author={Azzalini, Davide and Quintarelli, Elisa and Rabosio, Emanuele and Tanca, Letizia}, year={2022}, pages={143–154} }
";Azzalini_2022;FARGO: A Fair, Context-AwaRe, Group RecOmmender System;['Azzalini, Davide', 'Quintarelli, Elisa', 'Rabosio, Emanuele', 'Tanca, Letizia'];2022;BIAS;Advances in Bias and Fairness in Information Retrieval;inbook;10.1007/978-3-031-09316-6_13;http://dx.doi.org/10.1007/978-3-031-09316-6_13;Springer
43;https://www.sciencedirect.com/science/article/pii/S0020025516300196;;LP;Recommending items to group of users using Matrix Factorization based Collaborative Filtering;offline;ml1m,netflix;movies;No_groups;;Coupled;Individual;One-session;2-12;item-based;random(higherchanceforheavyusers);Ephemeral;relevance;Algorithm only;Data;GenerationProcedure;;;['ml1m', 'netflix'];ml1m,netflix;['ml1m', 'netflix'];['item-based'];['relevance'];['movies'];['random(higherchanceforheavyusers)'];['random'];[7.0];" @article{Ortega_2016, title={Recommending items to group of users using Matrix Factorization based Collaborative Filtering}, volume={345}, ISSN={0020-0255}, url={http://dx.doi.org/10.1016/j.ins.2016.01.083}, DOI={10.1016/j.ins.2016.01.083}, journal={Information Sciences}, publisher={Elsevier BV}, author={Ortega, Fernando and Hernando, Antonio and Bobadilla, Jesus and Kang, Jeon Hyung}, year={2016}, month=jun, pages={313–324} }
";Ortega_2016;Recommending items to group of users using Matrix Factorization based Collaborative Filtering;['Ortega, Fernando', 'Hernando, Antonio', 'Bobadilla, Jesus', 'Kang, Jeon Hyung'];2016;Information Sciences;;article;10.1016/j.ins.2016.01.083;http://dx.doi.org/10.1016/j.ins.2016.01.083;Elsevier BV
44;https://ieeexplore.ieee.org/abstract/document/7436655;;LP;A Social Influence Approach for Group User Modeling in Group Recommendation Systems;userstudy;douban-based;movies;No_groups;127 users, 50 groups, users were asked to fill-in personality traits;Not clear;Group;One-session;not specified;item-based;notspecified;Ephemeral;relevance;Algorithm only;General characteristics;not specified;Problems: rather vague description of group rating procedure - not clear whether group ratings or individual ratings are available;;['douban-based'];douban-based;['other'];['item-based'];['relevance'];['movies'];['notspecified'];['unknown / not applicable'];[];" @article{Guo_2017, title={A Social Influence Approach for Group User Modeling in Group Recommendation Systems}, ISSN={1541-1672}, url={http://dx.doi.org/10.1109/mis.2017.2581329}, DOI={10.1109/mis.2017.2581329}, journal={IEEE Intelligent Systems}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Guo, Junpeng and Zhu, Yanlin and Li, Aiai and Wang, Qipeng and Han, Weiguo}, year={2017}, pages={1–1} }
";Guo_2017;A Social Influence Approach for Group User Modeling in Group Recommendation Systems;['Guo, Junpeng', 'Zhu, Yanlin', 'Li, Aiai', 'Wang, Qipeng', 'Han, Weiguo'];2017;IEEE Intelligent Systems;;article;10.1109/mis.2017.2581329;http://dx.doi.org/10.1109/mis.2017.2581329;IEEE
46;https://www.sciencedirect.com/science/article/pii/S0167739X18320764;;LP;TruGRC: Trust-Aware Group Recommendation with Virtual Coordinators;offline;ciao,epinion;shopping;No_groups;;Coupled;Individual;One-session;10-50;item-based;random;Ephemeral;relevance;Algorithm only;Data;GenerationProcedure;;;['ciao', 'epinion'];ciao,epinion;['ciao', 'other'];['item-based'];['relevance'];['shopping'];['random'];['random'];[30.0];" @article{Wang_2019, title={TruGRC: Trust-Aware Group Recommendation with Virtual Coordinators}, volume={94}, ISSN={0167-739X}, url={http://dx.doi.org/10.1016/j.future.2018.11.030}, DOI={10.1016/j.future.2018.11.030}, journal={Future Generation Computer Systems}, publisher={Elsevier BV}, author={Wang, Ximeng and Liu, Yun and Lu, Jie and Xiong, Fei and Zhang, Guangquan}, year={2019}, month=may, pages={224–236} }
";Wang_2019;TruGRC: Trust-Aware Group Recommendation with Virtual Coordinators;['Wang, Ximeng', 'Liu, Yun', 'Lu, Jie', 'Xiong, Fei', 'Zhang, Guangquan'];2019;Future Generation Computer Systems;;article;10.1016/j.future.2018.11.030;http://dx.doi.org/10.1016/j.future.2018.11.030;Elsevier BV
47;https://www.sciencedirect.com/science/article/pii/S0957417417307200;;LP;GIST: A generative model with individual and subgroup-based topics for group recommendation;offline;meetup;eventssoc.network;GroupDecisions;;Coupled;Group;One-session;not specified;item-based;organic;Ephemeral;relevance;Algorithm only;Problems: cannot obtain the data anymore from the original location;Problems: cannot obtain the data anymore from the original location;;;['meetup'];meetup;['meetup'];['item-based'];['relevance'];['eventssoc.network'];['organic'];['organic'];[];" @article{Ji_2018, title={GIST: A generative model with individual and subgroup-based topics for group recommendation}, volume={94}, ISSN={0957-4174}, url={http://dx.doi.org/10.1016/j.eswa.2017.10.037}, DOI={10.1016/j.eswa.2017.10.037}, journal={Expert Systems with Applications}, publisher={Elsevier BV}, author={Ji, Ke and Chen, Zhenxiang and Sun, Runyuan and Ma, Kun and Yuan, Zhongjie and Xu, Guandong}, year={2018}, month=mar, pages={81–93} }
";Ji_2018;GIST: A generative model with individual and subgroup-based topics for group recommendation;['Ji, Ke', 'Chen, Zhenxiang', 'Sun, Runyuan', 'Ma, Kun', 'Yuan, Zhongjie', 'Xu, Guandong'];2018;Expert Systems with Applications;;article;10.1016/j.eswa.2017.10.037;http://dx.doi.org/10.1016/j.eswa.2017.10.037;Elsevier BV
48;https://www.sciencedirect.com/science/article/pii/S0957417417302294;;LP;Does order matter? Effect of order in group recommendation;offline;ml20m;movies;No_groups;;Decoupled;Individual;One-session;500-1200;item-based;similar;Ephemeral;relevance,fairness(leastsatisfaction);Algorithm only;Data;Problems: not much details given on the actual group formation procedure (only that it is similarity based);;;['ml20m'];ml20m;['ml20m'];['item-based'];['relevance', 'fairness'];['movies'];['similar'];['similar'];[850.0];" @article{Agarwal_2017, title={Does order matter? Effect of order in group recommendation}, volume={82}, ISSN={0957-4174}, url={http://dx.doi.org/10.1016/j.eswa.2017.03.069}, DOI={10.1016/j.eswa.2017.03.069}, journal={Expert Systems with Applications}, publisher={Elsevier BV}, author={Agarwal, Akshita and Chakraborty, Manajit and Chowdary, C. Ravindranath}, year={2017}, month=oct, pages={115–127} }
";Agarwal_2017;Does order matter? Effect of order in group recommendation;['Agarwal, Akshita', 'Chakraborty, Manajit', 'Chowdary, C. Ravindranath'];2017;Expert Systems with Applications;;article;10.1016/j.eswa.2017.03.069;http://dx.doi.org/10.1016/j.eswa.2017.03.069;Elsevier BV
50;https://www.sciencedirect.com/science/article/pii/S0167923616301695;;LP;An empirical study of natural noise management in group recommendation systems;offline;ml100k,netflixtiny;movies;No_groups;;Coupled;Individual;One-session;5-15;item-based;random;Ephemeral;relevance(mae);Algorithm only;Data;GenerationProcedure;;;['ml100k', 'netflixtiny'];ml100k,netflixtiny;['ml100k', 'other'];['item-based'];['relevance'];['movies'];['random'];['random'];[10.0];" @article{Castro_2017, title={An empirical study of natural noise management in group recommendation systems}, volume={94}, ISSN={0167-9236}, url={http://dx.doi.org/10.1016/j.dss.2016.09.020}, DOI={10.1016/j.dss.2016.09.020}, journal={Decision Support Systems}, publisher={Elsevier BV}, author={Castro, Jorge and Yera, Raciel and Martínez, Luis}, year={2017}, month=feb, pages={1–11} }
";Castro_2017;An empirical study of natural noise management in group recommendation systems;['Castro, Jorge', 'Yera, Raciel', 'Martínez, Luis'];2017;Decision Support Systems;;article;10.1016/j.dss.2016.09.020;http://dx.doi.org/10.1016/j.dss.2016.09.020;Elsevier BV
51;https://dl.acm.org/doi/10.1145/3240323.3240357;;LP;Generation meets recommendation: proposing novel items for groups of users;offline;synthetic,mart,ml_taggenome;art,movies;No_groups;;Not applicable;Other/Unknown;One-session;unclear;-;similar(withinrecommendationphase);Ephemeral;relevance;Algorithm only;Data, MLTagGenome:  pre-processing only generally described;not applicable;;;['synthetic', 'mart', 'ml_taggenome'];synthetic,mart,ml_taggenome;['synthetic', 'other'];['-'];['relevance'];['art', 'movies'];['similar(withinrecommendationphase)'];['similar'];[];" @inproceedings{Vo_2018, series={RecSys ’18}, title={Generation meets recommendation: proposing novel items for groups of users}, url={http://dx.doi.org/10.1145/3240323.3240357}, DOI={10.1145/3240323.3240357}, booktitle={Proceedings of the 12th ACM Conference on Recommender Systems}, publisher={ACM}, author={Vo, Thanh Vinh and Soh, Harold}, year={2018}, month=sep, collection={RecSys ’18} }
";Vo_2018;Generation meets recommendation: proposing novel items for groups of users;['Vo, Thanh Vinh', 'Soh, Harold'];2018;RecSys;Proceedings of the 12th ACM Conference on Recommender Systems;inproceedings;10.1145/3240323.3240357;http://dx.doi.org/10.1145/3240323.3240357;ACM
53;https://ieeexplore.ieee.org/document/9153841;;AD;Social Group Recommendation With TrAdaBoost;offline;camra2011,mafengwo,ml1m;movies,places;GroupDecisions;;Coupled;Group;One-session;avg: 2,7,5,3;item-based,com,agree,mosan,;organic,random,similar;Mixed;relevance(hr,ndcg@k);Algorithm only;Data;GenerationProcedure;;;['camra2011', 'mafengwo', 'ml1m'];camra2011,mafengwo,ml1m;['camra2011', 'mafengwo', 'ml1m'];['item-based', 'com', 'agree', 'mosan', '-'];['relevance'];['movies', 'places'];['organic', 'random', 'similar'];['organic', 'random', 'similar'];[2.0, 7.0, 5.0, 3.0];" @article{Huang_2020, title={Social Group Recommendation With TrAdaBoost}, volume={7}, ISSN={2373-7476}, url={http://dx.doi.org/10.1109/tcss.2020.3009721}, DOI={10.1109/tcss.2020.3009721}, number={5}, journal={IEEE Transactions on Computational Social Systems}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Huang, Zhenhua and Ni, Juan and Yao, Juanjuan and Xu, Xin and Zhang, Bo and Chen, Yunwen and Tan, Naiyu and Xue, Chao}, year={2020}, month=oct, pages={1278–1287} }
";Huang_2020;Social Group Recommendation With TrAdaBoost;['Huang, Zhenhua', 'Ni, Juan', 'Yao, Juanjuan', 'Xu, Xin', 'Zhang, Bo', 'Chen, Yunwen', 'Tan, Naiyu', 'Xue, Chao'];2020;IEEE Transactions on Computational Social Systems;;article;10.1109/tcss.2020.3009721;http://dx.doi.org/10.1109/tcss.2020.3009721;IEEE
54;https://dl.acm.org/doi/abs/10.1145/3450614.3461679;;LP;Fairness-preserving Group Recommendations With User Weighting;offline;ml1m,kgrec;movies,music;No_groups;;Decoupled;Individual;Sequence;2-8;item-based,spgreedy,greedylm,xpo,gfar,fuzzda;similar,divergent;Mixed;relevance,fairness;Code;Data;GeneratedGroups;;;['ml1m', 'kgrec'];ml1m,kgrec;['ml1m', 'kgrec'];['item-based', 'spgreedy', 'greedylm', 'xpo', 'gfar', 'fuzzda'];['relevance', 'fairness'];['movies', 'music'];['similar', 'divergent'];['similar', 'divergent'];[5.0];" @inproceedings{Malecek_2021, series={UMAP ’21}, title={Fairness-preserving Group Recommendations With User Weighting}, url={http://dx.doi.org/10.1145/3450614.3461679}, DOI={10.1145/3450614.3461679}, booktitle={Adjunct Proceedings of the 29th ACM Conference on User Modeling, Adaptation and Personalization}, publisher={ACM}, author={Malecek, Ladislav and Peska, Ladislav}, year={2021}, month=jun, collection={UMAP ’21} }
";Malecek_2021;Fairness-preserving Group Recommendations With User Weighting;['Malecek, Ladislav', 'Peska, Ladislav'];2021;UMAP;Adjunct Proceedings of the 29th ACM Conference on User Modeling, Adaptation and Personalization;inproceedings;10.1145/3450614.3461679;http://dx.doi.org/10.1145/3450614.3461679;ACM
55;https://dl.acm.org/doi/abs/10.1145/3383313.3412232;;LP;Ensuring Fairness in Group Recommendations by Rank-Sensitive Balancing of Relevance;offline;ml1m,kgrec;movies,music;No_groups;;Coupled;Individual;One-session;2-8;item-based,fai,spgreedy,greedylm,xpo;similar,random,divergent;Ephemeral;relevance,fairness;Code;Data;GeneratedGroups;;;['ml1m', 'kgrec'];ml1m,kgrec;['ml1m', 'kgrec'];['item-based', 'fai', 'spgreedy', 'greedylm', 'xpo'];['relevance', 'fairness'];['movies', 'music'];['similar', 'random', 'divergent'];['similar', 'random', 'divergent'];[5.0];" @inproceedings{Kaya_2020, series={RecSys ’20}, title={Ensuring Fairness in Group Recommendations by Rank-Sensitive Balancing of Relevance}, url={http://dx.doi.org/10.1145/3383313.3412232}, DOI={10.1145/3383313.3412232}, booktitle={Fourteenth ACM Conference on Recommender Systems}, publisher={ACM}, author={Kaya, Mesut and Bridge, Derek and Tintarev, Nava}, year={2020}, month=sep, collection={RecSys ’20} }
";Kaya_2020;Ensuring Fairness in Group Recommendations by Rank-Sensitive Balancing of Relevance;['Kaya, Mesut', 'Bridge, Derek', 'Tintarev, Nava'];2020;RecSys;Fourteenth ACM Conference on Recommender Systems;inproceedings;10.1145/3383313.3412232;http://dx.doi.org/10.1145/3383313.3412232;ACM
60;https://dl.acm.org/doi/abs/10.1145/3539597.3570400;;LP;Self-Supervised Group Graph Collaborative Filtering for Group Recommendation;offline;weeplaces,douban,yelp;pois,restaurants,events;GroupDecisions;;Coupled;Group;One-session;avg: 2.9, 4.9, 4.5;item-based,graph-convolution,agree,groupim,hhgr;organic;Ephemeral;relevance(ndcg,recall);Algorithm only;Yelp not available, Weeplaces & Douban to check;GenerationProcedure;;;['weeplaces', 'douban', 'yelp'];weeplaces,douban,yelp;['weeplaces', 'douban', 'yelp'];['item-based', 'graph-convolution', 'agree', 'groupim', 'hhgr'];['relevance'];['pois', 'restaurants', 'events'];['organic'];['organic'];[3.0, 5.0, 4.0];" @inproceedings{Li_2023, series={WSDM ’23}, title={Self-Supervised Group Graph Collaborative Filtering for Group Recommendation}, url={http://dx.doi.org/10.1145/3539597.3570400}, DOI={10.1145/3539597.3570400}, booktitle={Proceedings of the Sixteenth ACM International Conference on Web Search and Data Mining}, publisher={ACM}, author={Li, Kang and Wang, Chang-Dong and Lai, Jian-Huang and Yuan, Huaqiang}, year={2023}, month=feb, collection={WSDM ’23} }
";Li_2023;Self-Supervised Group Graph Collaborative Filtering for Group Recommendation;['Li, Kang', 'Wang, Chang-Dong', 'Lai, Jian-Huang', 'Yuan, Huaqiang'];2023;WSDM;Proceedings of the Sixteenth ACM International Conference on Web Search and Data Mining;inproceedings;10.1145/3539597.3570400;http://dx.doi.org/10.1145/3539597.3570400;ACM
